Short Toast	短时 Toast 提示
Long Toast	长时 Toast 提示
Get Argument(s) Values	获取参数值
Get Object Field Value	获取对象字段值
Set Object Field Value	设置对象字段值
Get Static Object Field Value	获取静态对象字段值
Set Static Object Field Value	设置静态对象字段值
Get Boolean Field Value	获取布尔字段值
Set Boolean Field Value	设置布尔字段值
Get Static Boolean Field Value	获取静态布尔字段值
Set Static Boolean Field Value	设置静态布尔字段值
Get Return Value	获取返回值
Set Return Value	设置返回值
Break Method Execution (Use beforeHookedMethod)	中断方法执行（使用 beforeHookedMethod）
Get SharedPreferences Sample	读取 SharedPreferences 示例
Set SharedPreferences Sample	写入 SharedPreferences 示例
Alert Dialog - Theme_DeviceDefault_Dialog	提示对话框 - Theme_DeviceDefault_Dialog
Alert Dialog - Theme_Dialog	提示对话框 - Theme_Dialog
Alert Dialog - Theme_Panel	提示对话框 - Theme_Panel
Alert Dialog - Theme_Holo_Dialog	提示对话框 - Theme_Holo_Dialog
Alert Dialog - Theme_Holo_Panel	提示对话框 - Theme_Holo_Panel
Alert Dialog - Theme_Holo_Light_Dialog	提示对话框 - Theme_Holo_Light_Dialog
Alert Dialog - Theme_Holo_Light_Panel	提示对话框 - Theme_Holo_Light_Panel
Preference Name	偏好设置文件名
HINT: app_prefs|custom_prefs|package.name_preferences etc...	提示：app_prefs|custom_prefs|package.name_preferences 等
Method Name	方法名
HINT: isPremium|hasPremium|isVip etc...	提示：isPremium|hasPremium|isVip 等
If you have any particular preference file, use 'Preference Name' input without .xml extension. You can perform any SharedPreferences operations, such as, get/put string, get/put boolean, etc...	如需指定偏好设置文件，请在“偏好设置文件名”中输入不含 .xml 扩展名的文件名。可执行 SharedPreferences 操作，例如读写字符串、布尔值等。
Milliseconds Delay	延迟（毫秒）
HINT: Delaying hooking by milliseconds. Useful for packed APK's	提示：以毫秒为单位延迟 Hook，对加固 APK 尤其有用
HINT: String|int|boolean|Integer etc...	提示：String|int|boolean|Integer 等
Are you sure to clear all contents?	确定清空所有内容吗？
Are you sure to delete the private hook file?	确定删除私有 Hook 文件吗？
Not a valid date	日期无效
NEVER SHOW	不再显示
I'll never bother you again!	以后不再提示。
Insert package name and cracked version	请输入包名和适配版本
Look up a constructor and change the field value before the method invocation	查找构造函数，并在调用前修改字段值
Look up a constructor and change the field value after the method invocation	查找构造函数，并在调用后修改字段值
Look up a constructor and change the static field value before the method invocation. Note: Static field's class name should be provided	查找构造函数，并在调用前修改静态字段值。注意：必须提供静态字段所属类的名称
Look up a constructor and change the static field value after the method invocation. Note: Static field's class name should be provided	查找构造函数，并在调用后修改静态字段值。注意：必须提供静态字段所属类的名称
Look up a method and hook a field value before the method invocation	查找方法，并在调用前 Hook 字段值
Look up a method and hook a field value after the method invocation	查找方法，并在调用后 Hook 字段值
Look up a method and change the static field value before the method invocation. Note: Static field's class name should be provided	查找方法，并在调用前修改静态字段值。注意：必须提供静态字段所属类的名称
Look up a method and change the static field value after the method invocation. Note: Static field's class name should be provided	查找方法，并在调用后修改静态字段值。注意：必须提供静态字段所属类的名称
Look up a method and hook it	查找并 Hook 方法
Look up a method and hook all methods (hookAllMethods) with a certain name that were declared in the specified class. Inherited methods and constructors are not considered	查找方法，并 Hook 指定类中声明的所有同名方法（hookAllMethods）。不包含继承的方法和构造函数
