AI HOOK CREATOR	AI Hook 创建器
Describe your hook in plain English. The AI agent will auto-generate and inject it.	请用英文描述 Hook 需求，AI 助手将自动生成并注入。
🛠️ WORKSPACE	🛠️ 工作区
🧠 AI GENERATOR	🧠 AI 生成器
Select Target Application	选择目标应用
No app selected	未选择应用
CHANGE	更换
Workspace Manager	工作区管理
Manage and load cached decompiled workspaces	管理并加载缓存的反编译工作区
MANAGE	管理
Select Decompiled Src Folder	选择反编译源码文件夹
No folder selected (optional)	未选择文件夹（可选）
CHOOSE	选择
Decompiler & Code Explorer	反编译与代码浏览
Browse source code or decompile on-the-fly	浏览源代码或即时反编译
EXPLORE	浏览
AI LLM ENGINE	AI 大模型引擎
SETUP	设置
PROVIDER:	服务商：
Paste your API Key here...	在此粘贴 API 密钥…
MODEL:	模型：
Select model...	选择模型…
SAVE SETTINGS	保存设置
AI PROMPT INSTRUCTIONS	AI 提示词
QUICK TEMPLATES:	快捷模板：
Bypass Root Check	绕过 Root 检测
Bypass SSL Pinning	绕过 SSL 证书固定
Forge Signature	伪造签名
Google Play Billing	Google Play 计费
Trace Security Checks	跟踪安全检查
Spoof GPS Location	伪装 GPS 位置
ANALYZE & GENERATE HOOK	分析并生成 Hook
AI ENGINE TERMINAL OUTPUT	AI 引擎终端输出
GENERATED JSON CONFIGURATION	生成的 JSON 配置
INJECT & SAVE	注入并保存
COPY JSON	复制 JSON
SHARE	分享
⚡ QUICK ANALYSIS	⚡ 快速分析
⇅ SORT	⇅ 排序
DEVICE SPOOFING	设备伪装
Spoof Build fingerprint & processor for the selected app	为所选应用伪装系统指纹和处理器信息
SPOOFED APPS	已伪装的应用
SPOOF CONFIGURATION	伪装配置
DEVICE PROFILE:	设备配置：
APPLY PROFILE	应用配置
RANDOMIZE HARDWARE	随机硬件信息
Tap  RANDOMIZE to generate spoof values	点击“随机硬件信息”生成伪装数据
INJECT SPOOF HOOKS	注入设备伪装 Hook
