NFG Hook Engine - Help & Workspace	NFG Hook 引擎 - 帮助与工作区
NFG Hook Engine	NFG Hook 引擎
Search app name or package...	搜索应用名称或包名…
OK	确定
Confirm	确认
Cancel	取消
Import Configuration	导入配置
Paste Configuration JSON:	粘贴 JSON 配置：
Load Pasted JSON	加载粘贴的 JSON
📂 Load from Private Hook Folder	📂 从私有 Hook 文件夹加载
Filter saved apps...	筛选已保存的应用…
Interactive Workspace	交互式工作区
⚡ Hook Creator	⚡ Hook 创建器
🎨 Dialog Builder	🎨 对话框设计器
Reference & Guides	参考与指南
🚀 Getting Started	🚀 入门指南
📚 Hook Types Table	📚 Hook 类型表
🔍 Call Tracing	🔍 调用跟踪
📦 Object Replacements	📦 对象替换
🐚 BeanShell Scripting	🐚 BeanShell 脚本
Hook Creator Workspace	Hook 创建工作区
Build configurations, manage hook task lists, and export settings natively to your device.	创建配置、管理 Hook 任务列表，并将设置导出到设备。
Target Package	目标包名
None	无
Hook Count	Hook 数量
0 Tasks	0 个任务
Analyzer Status	分析器状态
Optimal	正常
Target Application Setup	目标应用设置
Target Package Name	目标应用包名
e.g. com.target.app	例如 com.target.app
Select App	选择应用
📂 Load Saved	📂 加载已保存配置
Cracked For	适配版本
e.g. 1.0.0	例如 1.0.0
Special Note	特别说明
Quick Templates Setup	快捷模板设置
Load Hook Template	加载 Hook 模板
-- Templates --	-- 选择模板 --
⚡ BASIC HOOKS	⚡ 基础 Hook
Spoof Premium Status (Boolean Return)	伪装高级会员状态（布尔返回值）
Bypass SSL Certificate Pinning	绕过 SSL 证书固定
Skip Activity Dialog	跳过 Activity 对话框
Log Decryption Method Output	记录解密方法输出
Override Vip SharedPreference Keys	覆盖 VIP 的 SharedPreference 键值
🔧 BEANSHELL UTILITIES	🔧 BeanShell 工具
Show Toast Message at Launch	启动时显示 Toast 提示
Log Arguments to Console	将参数记录到控制台
Override Class Fields & Coins	覆盖类字段和金币数量
Call Private/Hidden Methods	调用私有或隐藏方法
Decrypt & Mutate JSON Response	解密并修改 JSON 响应
Bypass Integrity (Spoof Build Properties)	绕过完整性检查（伪装 Build 属性）
Spoof Android ID	伪装 Android ID
Deep Identity & Purchase Spoof	深度身份与购买状态伪装
Force In-App Purchase Status	强制设置应用内购买状态
System-Wide Ad Activity Blocker	全局广告 Activity 拦截
Mock GPS Location	模拟 GPS 位置
📱 DEVICE SPOOF PROFILES	📱 设备伪装配置
🎛️ ADVANCED SCRIPTS	🎛️ 高级脚本
Override App Version & Code	覆盖应用版本名称和版本号
Fast-Forward Timers (sendMessageDelayed)	加速计时器（sendMessageDelayed）
Fast-Forward Timers (postDelayed)	加速计时器（postDelayed）
Log View Hierarchy on Click	点击时记录视图层级
Print Caller Stack Trace	打印调用者堆栈
Intercept and Modify Input Arguments	拦截并修改输入参数
Comprehensive Ad Blocker + GAID Spoof	综合广告拦截与 GAID 伪装
💬 DIALOGS & OVERLAYS	💬 对话框与悬浮窗
Show Default Dialog (dialog)	显示默认对话框（dialog）
Show Standard Theme Dialog (dialog1)	显示标准主题对话框（dialog1）
BeanShell: Show Standard Panel Dialog (dialog2)	BeanShell：显示标准面板对话框（dialog2）
BeanShell: Show Holo Dark Dialog (dialog3)	BeanShell：显示 Holo 深色对话框（dialog3）
BeanShell: Show Holo Dark Panel Dialog (dialog4)	BeanShell：显示 Holo 深色面板对话框（dialog4）
BeanShell: Show Holo Light Dialog (dialog5)	BeanShell：显示 Holo 浅色对话框（dialog5）
BeanShell: Show Holo Light Panel Dialog (dialog6)	BeanShell：显示 Holo 浅色面板对话框（dialog6）
BeanShell: Persistent Hover Overlay (View Resource Inspector)	BeanShell：常驻悬浮窗（视图资源检查器）
Configure Hook Task	配置 Hook 任务
Class Name	类名
e.g. com.target.app.MainActivity	例如 com.target.app.MainActivity
Method/Constructor Name	方法或构造函数名称
e.g. isPremium	例如 isPremium
Interception Type	拦截类型
Return / Spoof Value	返回值 / 伪装值
e.g. true	例如 true
Method Parameters	方法参数
+ Add Param	+ 添加参数
Quick Parameter Types:	快捷参数类型：
Add Task to List	添加到任务列表
Tasks Workspace	任务工作区
Script Editor	脚本编辑器
Generated Config	生成的配置
Analyzer	分析器
Added Hook Tasks	已添加的 Hook 任务
No hook tasks added yet.	尚未添加 Hook 任务。
Clear All Tasks	清空所有任务
BeanShell Script Editor	BeanShell 脚本编辑器
Copy Code	复制代码
Log	日志
Toast	Toast 提示
Get Arg	获取参数
Set Arg	设置参数
Set Ret	设置返回值
🎲 Randomize Device	🎲 随机设备
📍 Randomize GPS	📍 随机 GPS
Reflect Field	反射字段
Generated Config Preview	生成的配置预览
Import JSON	导入 JSON
Copy	复制
Add hook tasks to view generated configuration JSON...	添加 Hook 任务后可查看生成的 JSON 配置…
Configuration Analysis	配置分析
Real-time checks and warnings to prevent configuration validation issues at runtime.	实时检查并提示问题，帮助避免运行时出现配置校验错误。
No issues detected. Add hook tasks to analyze.	未发现问题。添加 Hook 任务后可进行分析。
Save & Export Config to Device	保存配置并导出到设备
Dialog Builder	对话框设计器
Design beautiful native alert dialogs visually, watch real-time simulated actions, and export the code.	可视化设计原生提示对话框，实时预览模拟操作，并导出代码。
Dialog Variable / Style Theme	对话框变量 / 样式主题
dialog (Device Default)	dialog（设备默认）
dialog1 (Standard Theme)	dialog1（标准主题）
dialog2 (Standard Panel)	dialog2（标准面板）
dialog3 (Holo Dark)	dialog3（Holo 深色）
dialog4 (Holo Dark Panel)	dialog4（Holo 深色面板）
dialog5 (Holo Light)	dialog5（Holo 浅色）
dialog6 (Holo Light Panel)	dialog6（Holo 浅色面板）
custom (Fully Customizable Dialog)	custom（完全自定义对话框）
Trigger Lifecycle	触发生命周期
onResume (Every entry)	onResume（每次进入）
onCreate (First start only)	onCreate（仅首次创建）
Entry Animation	入场动画
Fade In	淡入
Slide Up	向上滑入
Slide Down	向下滑入
Scale Up	缩放进入
Rotate In	旋转进入
Bounce In	弹跳进入
Perspective Flip	透视翻转
Custom View Layout settings	自定义视图布局设置
Background Color	背景颜色
Corner Radius (px)	圆角半径（px）
Layout Padding (px)	布局内边距（px）
Border Color	边框颜色
Border Width (px)	边框宽度（px）
Title Color	标题颜色
Title Size (sp)	标题字号（sp）
Title Align	标题对齐
Center	居中
Left	左对齐
Right	右对齐
Title Margin Bottom	标题下边距
Msg Color	正文颜色
Msg Size (sp)	正文字号（sp）
Msg Align	正文对齐
Msg Margin Bottom	正文下边距
Btn BG Color	按钮背景色
Btn Text Color	按钮文字颜色
Btn Radius (px)	按钮圆角（px）
Btn Row Align	按钮行对齐
Dialog Title	对话框标题
e.g. License Status	例如：许可证状态
Dialog Message Content	对话框正文
e.g. All features have been successfully activated.	例如：所有功能均已激活。
This application has been successfully cracked by NFG Multi Crack.	此应用已由 NFG Multi Crack 成功破解。
Positive Btn Text	确认按钮文字
e.g. OK	例如：确定
Positive Click Action Code (BeanShell)	确认按钮操作代码（BeanShell）
Negative Btn Text	取消按钮文字
e.g. Cancel	例如：取消
Negative Click Action Code	取消按钮操作代码
Neutral Btn Text	中立按钮文字
